2020-03-04 13:54:03
  PID COMM             ARGS                                                              %CPU      VSZ     STIME USER               UID
    1 /sbin/launchd    /sbin/launchd                                                      0.0  4417876   8:50.00 root                 0
  201 /usr/sbin/mDNSRe /usr/sbin/mDNSResponderHelper                                      0.0  4422528   0:03.42 root                 0
  205 /System/Library/ /System/Library/PrivateFrameworks/CoreSymbolication.framework/co   0.0  4397504   0:00.39 root                 0
  206 /usr/libexec/nsu /usr/libexec/nsurlsessiond --privileged                            0.0  4439684   0:02.05 _nsurlsessiond     242
  207 /usr/libexec/mul /usr/libexec/multiversed                                           0.0  4315928   0:00.01 root                 0
  208 /System/Library/ /System/Library/CryptoTokenKit/com.apple.ifdreader.slotd/Content   0.0  4362088   0:00.04 root                 0
  209 /usr/libexec/apf /usr/libexec/apfsd                                                 0.0  4378428   0:00.12 root                 0
  210 /usr/libexec/air /usr/libexec/airportd                                              0.0  4432804   0:19.98 root                 0
  211 /usr/libexec/usb /usr/libexec/usbd                                                  0.0  4422592   0:00.35 root                 0
  212 /System/Library/ /System/Library/Frameworks/CoreMediaIO.framework/Resources/VDC.p   0.0  4454500   0:00.29 _cmiodalassistants   262
  216 /usr/libexec/App /usr/libexec/ApplicationFirewall/socketfilterfw                    0.0  4426460   0:03.89 root                 0
  217 /System/Library/ /System/Library/PrivateFrameworks/BridgeOSSoftwareUpdate.framewo   0.0  4395420   0:00.32 _softwareupdate    200
  218 /System/Library/ /System/Library/CoreServices/SubmitDiagInfo server-init            0.0  4422500   0:00.43 root                 0
  219 /usr/libexec/rtc /usr/libexec/rtcreportingd                                         0.0  4424780   0:01.10 root                 0
  221 /usr/libexec/lsd /usr/libexec/lsd runAsRoot                                         0.0  4439360   0:01.09 root                 0
  222 /System/Library/ /System/Library/PrivateFrameworks/CoreAnalytics.framework/Suppor   0.0  4423984   0:02.81 _analyticsd        263
  227 /usr/libexec/smd /usr/libexec/smd                                                   0.0  4332528   0:00.01 root                 0
  228 /usr/libexec/wat /usr/libexec/watchdogd                                             0.0  4363660   0:03.05 root                 0
  230 /System/Library/ /System/Library/Frameworks/AudioToolbox.framework/AudioComponent   0.0  4363976   0:00.05 root                 0
  231 /System/Library/ /System/Library/Frameworks/AudioToolbox.framework/XPCServices/co   0.0  4304908   0:00.00 _coreaudiod        202
  232 /usr/libexec/the /usr/libexec/thermald                                              0.0  4303676   0:00.37 root                 0
  233 /System/Library/ /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd s   0.0  4442616   0:12.85 root                 0
  234 /System/Library/ /System/Library/Frameworks/CoreServices.framework/Frameworks/Met   0.0  7933876   7:02.26 root                 0
  236 /usr/libexec/sec /usr/libexec/secinitd                                              0.0  4423788   0:00.17 root                 0
  237 /usr/libexec/Tou /usr/libexec/TouchBarServer                                        0.2  4535752   1:15.06 root                 0
  238 /System/Library/ /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries   0.0  4421244   0:02.22 root                 0
  239 /usr/libexec/col /usr/libexec/colorsync.displayservices                             0.0  4394856   0:00.23 root                 0
  240 /usr/libexec/col /usr/libexec/colorsyncd                                            0.0  4395628   0:00.14 root                 0
  248 /usr/libexec/sys /usr/libexec/sysmond                                               0.0  4394996   0:09.92 root                 0
  249 /System/Library/ /System/Library/Frameworks/Security.framework/Versions/A/XPCServ   0.0  4399284   0:00.35 root                 0
  251 /usr/sbin/system /usr/sbin/systemstats --logger-helper /private/var/db/systemstat   0.0  4423324   0:00.51 root                 0
  253 /usr/libexec/cap /usr/libexec/captiveagent                                          0.0  4423640   0:00.19 _captiveagent      258
  254 /usr/libexec/boo /usr/libexec/bootinstalld                                          0.0  4322984   0:00.01 root                 0
  260 /System/Library/ /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/XPCS   0.0  4395360   0:00.05 root                 0
  264 /System/Library/ /System/Library/CoreServices/sharedfilelistd                       0.0  4422980   0:00.20 root                 0
  265 /System/Library/ /System/Library/PrivateFrameworks/PerformanceAnalysis.framework/   0.0  4399876   0:05.45 root                 0
  266 /System/Library/ /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/   0.0  4422584   0:10.38 root                 0
  267 /usr/sbin/distno /usr/sbin/distnoted agent                                          0.0  4396008   0:03.25 root                 0
  269 /System/Library/ /System/Library/Frameworks/LocalAuthentication.framework/Support   0.0  4422848   0:00.42 root                 0
  270 /System/Library/ /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCSer   0.0  4387100   0:00.05 root                 0
  271 /usr/libexec/bio /usr/libexec/biometrickitd --launchd                               0.0  4422944   0:01.26 root                 0
  272 /usr/libexec/bio /usr/libexec/biokitaggdd                                           0.0  4421876   0:00.13 root                 0
  273 /System/Library/ /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundl   0.0  4396080   0:00.04 root                 0
  278 /usr/sbin/system /usr/sbin/systemsoundserverd                                       0.0  4426948   0:00.71 root                 0
  280 /System/Library/ /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versi   0.0  4423264   0:07.90 root                 0
  285 /usr/libexec/fin /usr/libexec/findmydeviced                                         0.0  4426196   0:01.53 root                 0
  287 /usr/libexec/nfc /usr/libexec/nfcd                                                  0.0  4422716   0:00.20 _applepay          260
  293 /System/Library/ /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/S   0.0  4426304   0:01.20 root                 0
  295 /System/Library/ /System/Library/PrivateFrameworks/CoreADI.framework/adid           0.0  4399092   0:00.48 _fpsd              265
  300 /System/Library/ /System/Library/Frameworks/GSS.framework/Helpers/GSSCred           0.0  4321864   0:00.02 root                 0
  303 /System/Library/ /System/Library/Frameworks/LocalAuthentication.framework/Support   0.0  4421860   0:00.16 qww                501
  304 /usr/sbin/cfpref /usr/sbin/cfprefsd agent                                           0.0  4396176   0:13.10 qww                501
  305 /usr/libexec/sec /usr/libexec/securityd_service                                     0.0  4336052   0:00.01 root                 0
  306 /usr/libexec/Use /usr/libexec/UserEventAgent (Aqua)                                 0.0  4424764   0:04.94 qww                501
  308 /usr/sbin/distno /usr/sbin/distnoted agent                                          0.0  4396008   0:19.06 qww                501
  310 /System/Library/ /System/Library/Frameworks/CoreTelephony.framework/Support/CommC   0.0  4436080   0:06.40 qww                501
  311 /usr/libexec/lsd /usr/libexec/lsd                                                   0.0  4432188   0:01.64 qww                501
  312 /usr/libexec/tru /usr/libexec/trustd --agent                                        0.0  4440796   0:06.90 qww                501
  314 /System/Library/ /System/Library/CoreServices/sharedfilelistd                       0.0  4424268   0:00.45 qww                501
  315 /Applications/Go /Applications/Google Chrome.app/Contents/MacOS/Google Chrome -ps   1.1  6709608  27:02.18 qww                501
  317 /usr/libexec/sec /usr/libexec/secd                                                  0.0  4431192   0:01.30 qww                501
  318 /System/Library/ /System/Library/CoreServices/backgroundtaskmanagementagent         0.0  4423548   0:00.20 qww                501
  319 /usr/sbin/Wirele /usr/sbin/WirelessRadioManagerd                                    0.0  4422540   0:00.59 root                 0
  320 /System/Library/ /System/Library/PrivateFrameworks/TelephonyUtilities.framework/c   0.0  4431604   0:00.81 qww                501
  322 /System/Library/ /System/Library/Frameworks/Accounts.framework/Versions/A/Support   0.0  4480708   0:03.08 qww                501
  323 /System/Library/ /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Suppo   0.0  4448940   0:04.68 qww                501
  324 /usr/libexec/rap /usr/libexec/rapportd                                              0.0  4423100   0:00.62 qww                501
  325 /System/Library/ /System/Library/PrivateFrameworks/IDS.framework/identityservices   0.0  4432884   0:00.84 qww                501
  326 /System/Library/ /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/C   0.0  4423400   0:00.39 qww                501
  327 /usr/libexec/rou /usr/libexec/routined LAUNCHED_BY_LAUNCHD                          0.0  4431468   0:02.55 qww                501
  328 /usr/sbin/userno /usr/sbin/usernoted                                                0.0  4434988   0:01.10 qww                501
  329 /usr/libexec/nsu /usr/libexec/nsurlsessiond                                         0.0  4445900   0:03.25 qww                501
  330 /System/Library/ /System/Library/CoreServices/ControlStrip.app/Contents/MacOS/Con   0.0  4981172   0:08.64 qww                501
  331 /usr/libexec/net /usr/libexec/networkserviceproxy                                   0.0  4423572   0:00.09 qww                501
  332 /System/Library/ /System/Library/PrivateFrameworks/CalendarAgent.framework/Execut   0.0  4465848   0:04.39 qww                501
  333 /System/Library/ /System/Library/PrivateFrameworks/TCC.framework/Resources/tccd     0.0  4432992   0:00.87 qww                501
  334 /System/Library/ /System/Library/CoreServices/APFSUserAgent                         0.0  4395396   0:00.05 qww                501
  335 /System/Library/ /System/Library/Frameworks/ApplicationServices.framework/Framewo   0.0  4424788   0:06.18 qww                501
  336 /usr/libexec/sec /usr/libexec/secinitd                                              0.0  4424832   0:00.65 qww                501
  337 /System/Library/ /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAg   0.0  4564704   0:06.99 qww                501
  338 /System/Library/ /System/Library/PrivateFrameworks/IMDPersistence.framework/XPCSe   0.0  4422868   0:00.23 qww                501
  339 /System/Library/ /System/Library/Frameworks/AddressBook.framework/Executables/Con   0.0  4394968   0:00.38 qww                501
  340 /System/Library/ /System/Library/PrivateFrameworks/AssistantServices.framework/Ve   0.0  4466112   0:03.69 qww                501
  342 /System/Library/ /System/Library/CoreServices/cloudphotosd.app/Contents/MacOS/clo   0.0  4481228   0:06.50 qww                501
  344 /usr/libexec/adp /usr/libexec/adprivacyd                                            0.0  4435644   0:01.35 qww                501
  345 /System/Library/ /System/Library/PrivateFrameworks/Tourist.framework/Versions/A/R   0.0  4433272   0:04.74 qww                501
  346 /System/Library/ /System/Library/CoreServices/CrashReporterSupportHelper server-i   0.0  4386644   0:00.05 root                 0
  347 /System/Library/ /System/Library/CoreServices/NotificationCenter.app/Contents/Mac   0.0  5302184   0:07.38 qww                501
  348 /System/Library/ /System/Library/PrivateFrameworks/CalendarNotification.framework   0.0  4429660   0:01.35 qww                501
  349 /usr/sbin/wirele /usr/sbin/wirelessproxd                                            0.0  4422892   0:00.35 root                 0
  351 /System/Library/ /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/R   0.0  4394812   0:00.08 qww                501
  352 /System/Library/ /System/Library/PrivateFrameworks/ProtectedCloudStorage.framewor   0.0  4422308   0:00.17 qww                501
  353 /System/Library/ /System/Library/Frameworks/Security.framework/Versions/A/Resourc   0.0  4395808   0:00.17 qww                501
  354 /System/Library/ /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/Ma   0.0  4394972   0:00.08 qww                501
  355 /System/Library/ /System/Library/CoreServices/Keychain Circle Notification.app/Co   0.0  4450672   0:04.77 qww                501
  356 /System/Library/ /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServ   0.0  4422896   0:00.24 qww                501
  357 /System/Library/ /System/Library/PrivateFrameworks/MessagesKit.framework/Resource   0.0  4428668   0:00.32 qww                501
  358 /System/Library/ /System/Library/PrivateFrameworks/UserActivity.framework/Agents/   0.0  4423656   0:03.85 qww                501
  359 /usr/libexec/nsu /usr/libexec/nsurlstoraged                                         0.0  4435316   0:01.77 qww                501
  360 /usr/libexec/sha /usr/libexec/sharingd                                              0.0  4448724   0:10.09 qww                501
  361 /System/Library/ /System/Library/PrivateFrameworks/MediaRemote.framework/Support/   0.0  4394816   0:00.15 qww                501
  362 /System/Library/ /System/Library/PrivateFrameworks/FamilyCircle.framework/Version   0.0  4423132   0:00.11 qww                501
  363 /usr/libexec/fmf /usr/libexec/fmfd                                                  0.0  4430108   0:01.40 qww                501
  364 /System/Library/ /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServ   0.0  4394776   0:00.06 qww                501
  365 /System/Library/ /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServ   0.0  4422896   0:00.23 qww                501
  366 /System/Library/ /System/Library/CoreServices/talagent                              0.0  4485268   0:05.48 qww                501
  367 /System/Library/ /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock          0.0  5406560   0:35.79 qww                501
  368 /System/Library/ /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/S   0.0  5071468   0:24.54 qww                501
  369 /System/Library/ /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder      0.0  5248052   1:38.63 qww                501
  373 /System/Library/ /System/Library/PrivateFrameworks/CommerceKit.framework/Versions   0.0  4444420   0:01.75 qww                501
  375 /System/Library/ /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Vers   0.0  4424720   0:00.61 qww                501
  376 /System/Library/ /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/S   0.0  4437992   0:01.75 qww                501
  377 /System/Library/ /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServ   0.0  4422896   0:00.24 qww                501
  378 /System/Library/ /System/Library/PrivateFrameworks/CloudServices.framework/Versio   0.0  4434728   0:01.56 qww                501
  379 /usr/sbin/fileco /usr/sbin/filecoordinationd                                        0.0  4395808   0:00.29 root                 0
  380 /usr/libexec/mob /usr/libexec/mobileactivationd                                     0.0  4433144   0:01.40 root                 0
  381 /usr/libexec/swc /usr/libexec/swcd                                                  0.0  4424156   0:00.20 qww                501
  382 /usr/libexec/pbo /usr/libexec/pboard                                                0.0  4395896   0:07.07 qww                501
  383 /System/Library/ /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd     0.0  4435884   0:02.15 qww                501
  385 /usr/libexec/pkd /usr/libexec/pkd                                                   0.0  4430244   0:01.53 qww                501
  387 /System/Library/ /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS   0.0  4427568   0:14.50 qww                501
  388 /System/Library/ /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/   0.0  4422784   0:23.88 qww                501
  389 /System/Library/ /System/Library/Frameworks/InputMethodKit.framework/Resources/im   0.0  4426180   0:03.64 qww                501
  390 /System/Library/ /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCS   0.0  4422040   0:00.10 qww                501
  391 /System/Library/ /System/Library/PrivateFrameworks/SafariShared.framework/Version   0.0  4424268   0:00.17 qww                501
  392 /usr/libexec/mob /usr/libexec/mobileassetd                                          0.0  4432656   0:00.84 root                 0
  393 /System/Library/ /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotli   0.0  5097960   0:08.10 qww                501
  395 /System/Library/ /System/Library/CoreServices/CoreLocationAgent.app/Contents/MacO   0.0  4454976   0:04.99 qww                501
  396 /System/Library/ /System/Library/Input Methods/SCIM.app/Contents/PlugIns/SCIM_Ext   0.0  5444196   1:41.65 qww                501
  397 /System/Library/ /System/Library/PrivateFrameworks/CloudPhotoServices.framework/V   0.0  4451188   0:00.29 qww                501
  398 /System/Library/ /System/Library/Input Methods/EmojiFunctionRowIM.app/Contents/Pl   0.0  5210140   0:14.97 qww                501
  399 /System/Library/ /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/   0.0  4942572   0:06.82 qww                501
  400 /usr/libexec/nsu /usr/libexec/nsurlstoraged --privileged                            0.0  4388268   0:00.06 _nsurlstoraged     243
